id,device,last_android_version,last_update_date
"""akita""",Pixel 8a,Android 14.0.0,2024-05-01
"""husky""",Pixel 8 Pro,Android 14.0.0,2024-05-01
"""shiba""",Pixel 8,Android 14.0.0,2024-05-01
"""felix""",Pixel Fold,Android 14.0.0,2024-05-01
"""tangorpro""",Pixel Tablet,Android 14.0.0,2024-05-01
"""lynx""",Pixel 7a,Android 14.0.0,2024-05-01
"""cheetah""",Pixel 7 Pro,Android 13.0.0,2023-03-01
"""panther""",Pixel 7,Android 13.0.0,2023-03-01
"""bluejay""",Pixel 6a,Android 13.0.0,2023-03-01
"""oriole""",Pixel 6,Android 13.0.0,2023-03-01
"""raven""",Pixel 6 Pro,Android 13.0.0,2023-03-01
"""barbet""",Pixel 5a,Android 13.0.0,2023-03-01
"""redfin""",Pixel 5,Android 13.0.0,2023-03-01
"""bramble""",Pixel 4a (5G),Android 13.0.0,2023-03-01
"""sunfish""",Pixel 4a,Android 13.0.0,2023-03-01
"""coral""",Pixel 4 XL,Android 13.0.0,2023-02-01
"""flame""",Pixel 4,Android 13.0.0,2023-02-01
"""bonito""",Pixel 3a XL,Android 12.1.0,2022-09-01
"""sargo""",Pixel 3a,Android 12.1.0,2022-09-01
"""crosshatch""",Pixel 3 XL,Android 12.0.0,2022-06-01
"""blueline""",Pixel 3,Android 12.0.0,2022-06-01
"""taimen""",Pixel 2 XL,Android 11.0.0,2020-12-01
"""walleye""",Pixel 2,Android 11.0.0,2020-12-01
"""marlin""",Pixel XL,Android 10.0.0,2019-12-01
"""sailfish""",Pixel,Android 10.0.0,2019-12-01
"""ryu""",Pixel C,Android 8.1.0,2019-06-01
